Țara,Speranța de viață la naștere (ani),Rata mortalității infantile (per 1000 nașteri),Accesul la serviciile sanitare de bază (% din populație),Populația urbană (% din populație),Rata brută de înscriere școlară (%),Rata șomajului (% din totalul forței de muncă),Accesul la electricitate (% din populație)
Indonesia,68.25,18.1,88.1568806,57.934,98.97173063,3.462,100
"Iran, Islamic Rep.",74.556,10.3,90.36473106,76.807,..,9.085,100
Iraq,71.336,20,98.49878055,71.354,..,15.511,100
Ireland,83.05609756,2.7,89.25487065,64.183,133.1504974,4.501,100
Isle of Man,80.762,..,100,53.271,..,..,100
Israel,82.7,2.7,99.9245194,92.763,96.58537292,3.695,100
Italy,82.9,2.2,99.8850365,71.657,101.3538589,8.069,100
Jamaica,70.629,16.1,86.55259763,57.008,83.87146759,4.083,100
Japan,83.99634146,1.7,99.93768895,91.955,102.3379669,2.6,100
Jordan,74.215,12.2,97.14488579,91.827,90.99127197,18.2,100
Kazakhstan,74.44,8.7,97.8608458,57.99,95.76423781,4.86,100
Kenya,62.055,30.5,36.52872003,29.002,..,5.707,76
Kiribati,67.661,43.9,45.18205388,57.058,87.52088165,..,94.4
"Korea, Dem. People's Rep.",73.578,13.6,84.76503884,62.916,..,2.805,54.7
"Korea, Rep.",82.6804878,2.4,99.81678226,81.427,97.91619873,2.857,100
Kosovo,79.524,8.7,..,..,..,..,..
Kuwait,80.264,7.4,100,100,..,2.174,100
Kyrgyz Republic,72.04878049,15.4,97.8645711,37.461,94.92294094,4.043,99.7
Lao PDR,68.999,32.7,79.51363385,37.592,56.88324421,1.209,100
Latvia,74.5804878,2.8,..,68.54,104.7645264,6.815,100
Lebanon,74.416,14.9,99.2,89.262,..,11.6,100
Lesotho,53.036,56.4,50.27919299,29.943,..,16.688,50
Liberia,61.1,54.9,22.5233825,53.065,..,2.977,31.8
Libya,72.151,8.9,92.10600221,81.302,..,19.282,70
Liechtenstein,84.3195122,..,99.95,14.538,..,..,100
Lithuania,75.79268293,2.9,95.30673634,68.465,106.9183578,5.955,100
Luxembourg,83.04634146,2.2,97.58592941,91.881,107.8397598,4.588,100
"Macao SAR, China",85.377,..,100,100,90.22118378,2.482,100
